@relation Average_Resale_Home_Prices

@attribute ﻿Geography {Peel,Brampton,Caledon,Mississauga}
@attribute FID numeric
@attribute ReportYear numeric
@attribute Detached numeric
@attribute Semi numeric
@attribute Town_Row_Attach numeric
@attribute Condo_Apt numeric
@attribute Total_All_Home_Types numeric

@data
Peel,1,2022,1524220,1094896,926429,671103,1171961
Brampton,2,2022,1388272,1075709,924245,618960,1173816
Caledon,3,2022,1803703,1137607,1010855,779173,1613867
Mississauga,4,2022,1650723,1118599,921778,680724,1118391
Peel,5,2021,1378651,959784,807758,574351,1052704
Brampton,6,2021,1236360,930988,797861,515491,1041504
Caledon,7,2021,1626330,924186,901905,759120,1464115
Mississauga,8,2021,1552372,1005290,810565,585538,1015660
Peel,9,2020,1093289,796684,678029,519389,875514
Brampton,10,2020,967788,762760,664387,459855,839164
Caledon,11,2020,1237933,767637,737418,581250,1119791
Mississauga,12,2020,1260633,849880,686655,531742,881332
Peel,13,2019,954453,704245,607653,466729,754250
Brampton,14,2019,845154,671519,587537,405448,727324
Caledon,15,2019,1040004,693131,658003,667333,946675
Mississauga,16,2019,1105480,754021,623722,479939,759998
Peel,17,2018,918775,669612,576129,418178,713353
Brampton,18,2018,812747,635223,560519,365493,697179
Caledon,19,2018,1015623,674390,637097,662667,925448
Mississauga,20,2018,1064967,714750,585803,428205,705439
Peel,21,2017,955080,674505,572186,387085,723143
Brampton,22,2017,821470,638809,554093,346679,699719
Caledon,23,2017,1060860,677843,632368,600875,955988
Mississauga,24,2017,1136207,727001,585195,393947,722747
Peel,25,2016,805812,568374,471260,310287,615827
Brampton,26,2016,685158,531978,453263,271131,584339
Caledon,27,2016,856597,581122,531805,501586,798843
Mississauga,28,2016,969494,617655,483828,317677,628067
Peel,29,2015,683692,483763,399990,279773,526376
Brampton,30,2015,572828,440909,364744,235220,487165
Caledon,31,2015,749039,472656,454528,445900,685189
Mississauga,32,2015,822136,535026,423155,288309,546203
Peel,33,2014,621503,440637,374468,269418,484721
Brampton,34,2014,516822,395550,341623,224716,444004
Caledon,35,2014,657952,431656,407186,427700,612312
Mississauga,36,2014,747722,488940,394099,277202,506579
Peel,37,2013,592364,410686,347344,255583,459493
Brampton,38,2013,493996,373042,314958,213160,421257
Caledon,39,2013,630313,408870,380779,443955,581163
Mississauga,40,2013,704708,452748,365609,263107,480022
Peel,41,2012,569118,394655,333021,255391,440207
Brampton,42,2012,475532,363383,304246,209906,404960
Caledon,43,2012,598570,388352,363199,411000,559220
Mississauga,44,2012,679948,428701,349970,264427,459035
Peel,45,2011,560789,366544,353361,245276,432048
Brampton,46,2011,444911,335678,355351,199364,392294
Caledon,47,2011,996535,343466,355106,411936,867099
Mississauga,48,2011,621410,399428,352912,252925,426867
Peel,49,2010,500785,342253,290925,228835,385528
Brampton,50,2010,410281,311392,259041,184130,351928
Caledon,51,2010,570960,340831,321122,413629,527835
Mississauga,52,2010,592460,372807,306673,235352,399497
Peel,53,2009,450303,310069,272436,209093,357030
Brampton,54,2009,376986,285679,242199,162620,328297
Caledon,55,2009,479448,307959,298404,?,450019
Mississauga,56,2009,526220,332486,285389,216024,370052
Peel,57,2008,436051,311912,266747,207780,337813
Brampton,58,2008,370280,286825,240412,174256,316039
Caledon,59,2008,502852,311997,306998,?,466443
Mississauga,60,2008,499316,335510,279358,213634,344577
Peel,61,2007,426748,300114,275389,200007,337846
Brampton,62,2007,358529,276981,233997,172762,310168
Caledon,63,2007,478253,296170,291809,?,440400
Mississauga,64,2007,490913,320646,296154,204022,349808
Peel,65,2006,403983,286683,242141,181612,315765
Brampton,66,2006,342700,266421,217557,167334,295284
Caledon,67,2006,465860,285056,210055,?,428410
Mississauga,68,2006,458339,304735,252994,184008,321468
Peel,69,2005,379563,272975,232402,185545,302347
Brampton,70,2005,323758,254874,214353,167515,281372
Caledon,71,2005,414490,268848,255694,?,389026
Mississauga,72,2005,429495,287977,241339,188735,310449
